#Columns,17,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_Ammonium,as_Bromide,as_Calcium,as_Chloride,as_Fluoride,as_Lithium,as_Magnesium,as_Nitrate,as_Nitrite,as_Phosphate,as_Potassium,as_Sodium,as_Sulfate,N/A
MethodID_Analysis,N/A,N/A,N/A,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,N/A
MethodID_Inspection,N/A,N/A,N/A,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,N/A
MethodID_Storage,N/A,N/A,N/A,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,N/A
MethodID_Preservation,N/A,N/A,N/A,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,N/A
MethodID_Preparation,N/A,N/A,N/A,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.13,0.05,0.77,0.03,0.01,0.16,0.65,0.04,0.08,0.23,0.14,0.1,0.04,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,SSS001_WIN-1,10.58052/IEWDR01MH,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,6.393,0.904,0.073,-9999,2.683,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,1.086,3.348,0.475,DTL_003
N/A,SSS001_WIN-2,10.58052/IEWDR01MH,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,4.968,1.079,0.074,-9999,3.258,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,1.264,4.127,0.522,DTL_003
N/A,SSS001_WIN-3,10.58052/IEWDR01MH,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,5.512,1.074,0.072,-9999,3.146,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,1.249,4.136,0.568,DTL_003
N/A,SSS002_WIN-1,10.58052/IEWDR01MI,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,4.859,1.152,0.078,-9999,2.345,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,1.248,3.866,0.368,DTL_003
N/A,SSS002_WIN-2,10.58052/IEWDR01MI,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,5.206,1.199,0.068,-9999,2.93,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,-9999,1.288,4.326,0.442,DTL_003
N/A,SSS002_WIN-3,10.58052/IEWDR01MI,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,Bromide_Below_0.05_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,5.929,1.253,0.07,-9999,2.804,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,-9999,1.318,4.391,0.451,DTL_003
N/A,SSS003_WIN-1,10.58052/IEWDR01MJ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,4.424,0.547,0.077,-9999,2.837,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.766,3.503,0.281,NH4_CV_030; SO4_CV_30; DTL_003
N/A,SSS003_WIN-2,10.58052/IEWDR01MJ,Liquid>aqueous,Ammonium_Above_1.25_ppm_Standard|2.47_Raw_Not_Corrected|2.47_ppm_Final_Corrected,-9999,5.98,0.625,0.104,-9999,3.826,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,0.855,4.274,9.254,NH4_CV_030; SO4_CV_30; DTL_003
N/A,SSS003_WIN-3,10.58052/IEWDR01MJ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,4.844,0.537,0.081,-9999,3.364,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,0.709,3.533,0.281,NH4_CV_030; SO4_CV_30; DTL_003
N/A,SSS004_WIN-1,10.58052/IEWDR01MK,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,7.365,0.708,0.089,-9999,3.817,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,2.087,3.742,1.447,NO3_CV_030; DTL_003
N/A,SSS004_WIN-2,10.58052/IEWDR01MK,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,8.293,0.788,0.116,-9999,4.445,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.14_Raw_Not_Corrected|0.14_ppm_Final_Corrected,2.255,4.157,1.752,NO3_CV_030; DTL_003
N/A,SSS004_WIN-3,10.58052/IEWDR01MK,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,8.295,0.812,0.091,-9999,4.654,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.14_Raw_Not_Corrected|0.14_ppm_Final_Corrected,2.358,4.336,1.766,NO3_CV_030; DTL_003
N/A,SSS005_WIN-1,10.58052/IEWDR01ML,Liquid>aqueous,0.146,-9999,4.859,1.746,0.058,-9999,2.805,0.45,-9999,-9999,0.499,2.549,1.561,NH4_CV_030
N/A,SSS005_WIN-2,10.58052/IEWDR01ML,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,5.817,1.654,0.051,-9999,2.607,0.417,-9999,-9999,0.496,2.482,1.412,NH4_CV_030; DTL_003
N/A,SSS005_WIN-3,10.58052/IEWDR01ML,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,5.242,1.536,0.051,-9999,2.035,0.391,-9999,-9999,0.465,2.24,1.162,NH4_CV_030; DTL_003
N/A,SSS006_WIN-1,10.58052/IEWDR01MM,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,9.991,5.88,0.124,-9999,9.806,2.011,-9999,Phosphate_Below_0.23_ppm_LOD|0.21_Raw_Not_Corrected|0.21_ppm_Final_Corrected,3.658,11.728,10.939,NH4_CV_030; DTL_003
N/A,SSS006_WIN-2,10.58052/IEWDR01MM,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,12.422,6.171,0.124,-9999,11.507,2.156,-9999,Phosphate_Below_0.23_ppm_LOD|0.18_Raw_Not_Corrected|0.18_ppm_Final_Corrected,3.849,12.808,12.396,NH4_CV_030; DTL_003
N/A,SSS006_WIN-3,10.58052/IEWDR01MM,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,-9999,11.58,6.26,0.145,-9999,12.654,2.173,-9999,Phosphate_Below_0.23_ppm_LOD|0.21_Raw_Not_Corrected|0.21_ppm_Final_Corrected,3.901,13.322,12.875,NH4_CV_030; DTL_003
N/A,SSS007_WIN-1,10.58052/IEWDR01MN,Liquid>aqueous,-9999,-9999,8.111,1.383,0.06,-9999,2.51,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,0.448,6.38,3.278,NO3_CV_030; DTL_003
N/A,SSS007_WIN-2,10.58052/IEWDR01MN,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,8.953,1.38,0.044,-9999,2.487,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,0.442,6.409,3.389,NO3_CV_030; DTL_003
N/A,SSS007_WIN-3,10.58052/IEWDR01MN,Liquid>aqueous,-9999,-9999,8.611,1.378,0.059,-9999,2.527,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.447,6.381,3.282,NO3_CV_030; DTL_003
N/A,SSS008_WIN-1,10.58052/IEWDR01MO,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,-9999,6.371,2.115,0.101,-9999,3.096,-9999,-9999,Phosphate_Below_0.23_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,1.755,8.484,1.701,NH4_CV_030; DTL_003
N/A,SSS008_WIN-2,10.58052/IEWDR01MO,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,-9999,6.624,2.206,0.111,-9999,3.204,-9999,-9999,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,1.776,8.834,1.828,NH4_CV_030; DTL_003
N/A,SSS008_WIN-3,10.58052/IEWDR01MO,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,7.36,2.239,0.114,-9999,3.632,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,1.845,9.373,1.972,NH4_CV_030; DTL_003
N/A,SSS009_WIN-1,10.58052/IEWDR01MP,Liquid>aqueous,-9999,-9999,4.617,0.322,0.064,-9999,1.354,-9999,-9999,-9999,1.069,2.172,3.278,N/A
N/A,SSS009_WIN-2,10.58052/IEWDR01MP,Liquid>aqueous,-9999,-9999,5.882,0.337,0.072,-9999,1.693,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,1.095,2.394,3.911,DTL_003
N/A,SSS009_WIN-3,10.58052/IEWDR01MP,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,5.415,0.328,0.076,-9999,1.501,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,1.07,2.279,3.602,DTL_003
N/A,SSS010_WIN-1,10.58052/IEWDR01MQ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.596,1.757,0.059,-9999,1.741,0.091,-9999,-9999,0.425,3.51,4.573,NH4_CV_030; Mg_CV_030; DTL_003
N/A,SSS010_WIN-2,10.58052/IEWDR01MQ,Liquid>aqueous,0.147,-9999,5.807,1.148,0.057,-9999,0.973,0.076,-9999,-9999,0.274,2.195,3.756,NH4_CV_030; Mg_CV_030
N/A,SSS010_WIN-3,10.58052/IEWDR01MQ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,8.355,1.808,0.057,-9999,1.862,0.095,-9999,-9999,0.436,3.778,4.916,NH4_CV_030; Mg_CV_030; DTL_003
N/A,SSS011_WIN-1,10.58052/IEWDR01MR,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.174,0.508,0.054,-9999,1.144,0.212,-9999,-9999,0.465,2.335,3.053,NH4_CV_030; F_CV_030; Mg_CV_030; DTL_003
N/A,SSS011_WIN-2,10.58052/IEWDR01MR,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,5.459,0.488,0.051,-9999,0.815,0.206,-9999,-9999,0.461,2.105,2.413,NH4_CV_030; F_CV_030; Mg_CV_030; DTL_003
N/A,SSS011_WIN-3,10.58052/IEWDR01MR,Liquid>aqueous,0.173,-9999,7.8,0.759,0.205,-9999,Magnesium_Below_0.65_ppm_LOD|0.57_Raw_Not_Corrected|0.57_ppm_Final_Corrected,0.284,Nitrite_Below_0.08_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,0.468,1.454,2.275,ION_002; NH4_CV_030; F_CV_030; Mg_CV_030; DTL_003
N/A,SSS012_WIN-1,10.58052/IEWDR01MS,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,5.515,0.884,0.063,-9999,1.132,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.479,2.773,2.272,NO3_CV_030; DTL_003
N/A,SSS012_WIN-2,10.58052/IEWDR01MS,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,6.073,0.858,0.045,-9999,1.146,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,0.472,2.761,2.285,NO3_CV_030; DTL_003
N/A,SSS012_WIN-3,10.58052/IEWDR01MS,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,5.758,0.872,0.054,-9999,1.168,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.482,2.809,2.296,NO3_CV_030; DTL_003
N/A,SSS013_WIN-1,10.58052/IEWDR01MT,Liquid>aqueous,0.138,-9999,8.572,7.146,0.124,-9999,7.657,3.286,Nitrite_Below_0.08_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,2.036,10.797,12.867,NH4_CV_030; DTL_003
N/A,SSS013_WIN-2,10.58052/IEWDR01MT,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,-9999,9.163,6.89,0.134,-9999,6.475,3.116,Nitrite_Below_0.08_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,2.083,10.273,10.817,NH4_CV_030; DTL_003
N/A,SSS013_WIN-3,10.58052/IEWDR01MT,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,11.508,6.676,0.104,-9999,6.607,3.033,Nitrite_Below_0.08_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,2.027,10.108,10.383,NH4_CV_030; DTL_003
N/A,SSS014_WIN-1,10.58052/IEWDR01MU,Liquid>aqueous,0.219,-9999,9.019,5.649,0.091,-9999,5.748,3.899,Nitrite_Below_0.08_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,1.718,9.181,8.739,DTL_003
N/A,SSS014_WIN-2,10.58052/IEWDR01MU,Liquid>aqueous,0.182,-9999,8.087,6.11,0.088,-9999,6.863,4.231,Nitrite_Below_0.08_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,1.839,10.445,10.594,DTL_003
