#Columns,19,,,,,,,,,,,,,,,,,,
N/A,CM_075_Water,10.58052/IEWDR01WJ,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.25,0.887,FALSE
N/A,CM_076_Water,10.58052/IEWDR01WM,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.79,1.573,FALSE
N/A,CM_077_Water,10.58052/IEWDR01WP,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.223,0.53,FALSE
N/A,CM_078_Water,10.58052/IEWDR01WS,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.023,3.483,FALSE
N/A,CM_079_Water,10.58052/IEWDR01WV,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.133,0.947,FALSE
N/A,CM_080_Water,10.58052/IEWDR01WY,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.743,1.417,FALSE
N/A,CM_081_Water,10.58052/IEWDR01X1,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.267,0.563,FALSE
N/A,CM_082_Water,10.58052/IEWDR01X4,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.9,0.46,FALSE
N/A,CM_083_Water,10.58052/IEWDR01YL,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.93,0.79,FALSE
N/A,CM_084_Water,10.58052/IEWDR01X7,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.68,0.18,FALSE
N/A,CM_085_Water,10.58052/IEWDR01XA,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.163,0.29,FALSE
N/A,CM_086_Water,10.58052/IEWDR01YM,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.81,0.117,FALSE
N/A,CM_087_Water,10.58052/IEWDR01YN,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.955,1.985,TRUE
N/A,CM_088_Water,10.58052/IEWDR01XD,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.035,1.855,TRUE
N/A,CM_089_Water,10.58052/IEWDR01YO,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.387,0.107,FALSE
N/A,CM_090_Water,10.58052/IEWDR01YP,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.807,0.133,FALSE
N/A,CM_091_Water,10.58052/IEWDR01YQ,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.21,0.56,FALSE
N/A,CM_092_Water,10.58052/IEWDR01YR,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.853,0.437,FALSE
N/A,CM_093_Water,10.58052/IEWDR01YS,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.193,0.387,FALSE
N/A,CM_094_Water,10.58052/IEWDR01YT,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.24,0.293,FALSE
N/A,CM_095_Water,10.58052/IEWDR01YU,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.467,0.61,FALSE
N/A,CM_096_Water,10.58052/IEWDR01YV,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.407,0.423,FALSE
N/A,CM_097_Water,10.58052/IEWDR01YW,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.467,0.84,FALSE
N/A,CM_098_Water,10.58052/IEWDR01YX,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.7,2.037,FALSE
N/A,CM_099_Water,10.58052/IEWDR01YY,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.285,0.58,TRUE
N/A,CM_100_Water,10.58052/IEWDR01YZ,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.645,0.197,TRUE
N/A,CM_101_Water,10.58052/IEWDR01Z0,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.507,0.33,FALSE
N/A,CM_102_Water,10.58052/IEWDR01Z1,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.5,0.39,FALSE
N/A,CM_103_Water,10.58052/IEWDR01Z2,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.287,0.573,FALSE
N/A,CM_104_Water,10.58052/IEWDR01Z3,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.767,0.713,FALSE
N/A,CM_105_Water,10.58052/IEWDR01Z4,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.85,0.14,TRUE
N/A,CM_106_Water,10.58052/IEWDR01Z5,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.847,0.907,FALSE
N/A,CM_107_Water,10.58052/IEWDR01Z6,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.22,6.62,FALSE
N/A,CM_108_Water,10.58052/IEWDR01Z7,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.23,0.153,FALSE
N/A,CM_109_Water,10.58052/IEWDR01Z8,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.527,0.157,FALSE
N/A,CM_110_Water,10.58052/IEWDR01Z9,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.68,0.19,FALSE
N/A,CM_111_Water,10.58052/IEWDR01ZA,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.753,0.62,FALSE
N/A,CM_112_Water,10.58052/IEWDR01ZB,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.26,0.96,FALSE
N/A,CM_113_Water,10.58052/IEWDR01ZC,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.66,0.11,TRUE
N/A,CM_114_Water,10.58052/IEWDR01ZD,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.337,0.97,FALSE
N/A,CM_115_Water,10.58052/IEWDR01ZE,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.343,0.357,FALSE
N/A,CM_116_Water,10.58052/IEWDR01ZF,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.177,-9999,TRUE
N/A,CM_117_Water,10.58052/IEWDR01ZG,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.985,1.097,TRUE
N/A,SSS001_Water,10.58052/IEWDR01MH,Liquid>aqueous,-9999,-9999,5.624,1.019,0.073,-9999,3.029,-9999,-9999,-9999,1.2,3.87,0.522,1.017,-9999,TRUE
N/A,SSS002_Water,10.58052/IEWDR01MI,Liquid>aqueous,-9999,-9999,5.331,1.201,0.072,-9999,2.693,-9999,-9999,-9999,1.285,4.194,0.42,1.19,-9999,TRUE
N/A,SSS003_Water,10.58052/IEWDR01MJ,Liquid>aqueous,-9999,-9999,5.083,0.57,0.087,-9999,3.342,-9999,-9999,-9999,0.777,3.77,3.272,1.083,-9999,TRUE
N/A,SSS004_Water,10.58052/IEWDR01MK,Liquid>aqueous,-9999,-9999,7.984,0.769,0.099,-9999,4.305,-9999,-9999,-9999,2.233,4.078,1.655,2.4,0.1,TRUE
N/A,SSS005_Water,10.58052/IEWDR01ML,Liquid>aqueous,-9999,-9999,5.306,1.645,0.053,-9999,2.482,0.419,-9999,-9999,0.487,2.424,1.378,1.18,0.143,TRUE
N/A,SSS006_Water,10.58052/IEWDR01MM,Liquid>aqueous,-9999,-9999,11.331,6.104,0.131,-9999,11.322,2.113,-9999,-9999,3.803,12.619,12.07,2.58,0.58,TRUE
N/A,SSS007_Water,10.58052/IEWDR01MN,Liquid>aqueous,-9999,-9999,8.558,1.38,0.054,-9999,2.508,-9999,-9999,-9999,0.446,6.39,3.316,1.05,-9999,TRUE
N/A,SSS008_Water,10.58052/IEWDR01MO,Liquid>aqueous,-9999,-9999,6.785,2.187,0.109,-9999,3.311,-9999,-9999,-9999,1.792,8.897,1.834,2.013,0.11,TRUE
N/A,SSS009_Water,10.58052/IEWDR01MP,Liquid>aqueous,-9999,-9999,5.305,0.329,0.071,-9999,1.516,-9999,-9999,-9999,1.078,2.282,3.597,0.623,-9999,TRUE
N/A,SSS010_Water,10.58052/IEWDR01MQ,Liquid>aqueous,-9999,-9999,7.253,1.571,0.058,-9999,1.525,0.087,-9999,-9999,0.378,3.161,4.415,0.65,-9999,TRUE
N/A,SSS011_Water,10.58052/IEWDR01MR,Liquid>aqueous,-9999,-9999,6.811,0.585,0.103,-9999,0.979,0.234,-9999,-9999,0.465,1.965,2.58,0.637,-9999,TRUE
N/A,SSS012_Water,10.58052/IEWDR01MS,Liquid>aqueous,-9999,-9999,5.782,0.871,0.054,-9999,1.149,-9999,-9999,-9999,0.478,2.781,2.284,0.877,-9999,TRUE
N/A,SSS013_Water,10.58052/IEWDR01MT,Liquid>aqueous,-9999,-9999,9.748,6.904,0.121,-9999,6.913,3.145,-9999,-9999,2.049,10.393,11.356,1.73,0.87,TRUE
N/A,SSS014_Water,10.58052/IEWDR01MU,Liquid>aqueous,0.2,-9999,8.092,5.868,0.092,-9999,6.186,4.064,-9999,-9999,1.78,9.796,9.564,1.693,1.113,TRUE
N/A,SSS015_Water,10.58052/IEWDR01MV,Liquid>aqueous,-9999,-9999,6.297,2.184,0.071,-9999,3.293,0.639,-9999,-9999,0.625,3.46,2.306,1.23,0.183,TRUE
N/A,SSS016_Water,10.58052/IEWDR01MW,Liquid>aqueous,-9999,-9999,5.743,1.267,0.059,-9999,1.256,-9999,-9999,-9999,0.527,2.541,2.134,0.92,-9999,TRUE
N/A,SSS017_Water,10.58052/IEWDR01MX,Liquid>aqueous,-9999,-9999,6.645,1.623,0.064,-9999,1.696,0.07,-9999,-9999,0.663,3.152,2.701,0.953,-9999,TRUE
N/A,SSS018_Water,10.58052/IEWDR01MY,Liquid>aqueous,-9999,-9999,4.58,1.042,0.075,-9999,0.924,0.052,-9999,-9999,0.508,3.801,0.878,0.907,-9999,TRUE
N/A,SSS019_Water,10.58052/IEWDR01MZ,Liquid>aqueous,-9999,-9999,6.897,0.544,0.068,-9999,2.004,-9999,-9999,-9999,0.659,4.991,1.852,1.01,-9999,TRUE
N/A,SSS020_Water,10.58052/IEWDR01N0,Liquid>aqueous,-9999,-9999,5.225,0.721,0.056,-9999,1.074,-9999,-9999,-9999,0.562,3.673,1.267,0.903,-9999,TRUE
N/A,SSS021_Water,10.58052/IEWDR01N1,Liquid>aqueous,-9999,-9999,3.392,0.347,0.041,-9999,2.214,-9999,-9999,-9999,-9999,0.73,0.625,0.51,-9999,TRUE
N/A,SSS022_Water,10.58052/IEWDR01N2,Liquid>aqueous,-9999,-9999,7.609,3.411,0.075,-9999,1.086,-9999,-9999,-9999,0.261,3.851,1.425,0.537,-9999,TRUE
N/A,SSS023_Water,10.58052/IEWDR01N3,Liquid>aqueous,-9999,-9999,9.426,1.139,0.151,-9999,6.465,0.043,-9999,-9999,3.428,6.653,1.046,2.433,0.173,TRUE
N/A,SSS024_Water,10.58052/IEWDR01N4,Liquid>aqueous,-9999,-9999,8.482,1.002,0.123,-9999,6.121,0.065,-9999,-9999,3.01,6.58,1.981,2.167,0.163,TRUE
N/A,SSS025_Water,10.58052/IEWDR01N5,Liquid>aqueous,-9999,-9999,7.274,4.372,0.139,-9999,6.584,5.474,-9999,-9999,1.767,9.495,5.718,1.657,1.467,TRUE
N/A,SSS026_Water,10.58052/IEWDR01N6,Liquid>aqueous,-9999,-9999,8.691,3.928,0.08,-9999,5.445,4.339,-9999,-9999,1.858,7.153,5.05,1.757,1.17,TRUE
N/A,SSS027_Water,10.58052/IEWDR01N7,Liquid>aqueous,-9999,-9999,5.281,1.015,0.08,-9999,3.32,-9999,-9999,-9999,1.018,4.613,0.327,1.05,-9999,TRUE
N/A,SSS028_Water,10.58052/IEWDR01N8,Liquid>aqueous,-9999,-9999,9.73,0.556,0.099,-9999,7.21,0.273,-9999,-9999,2.235,5.711,1.808,0.93,0.11,TRUE
N/A,SSS029_Water,10.58052/IEWDR01N9,Liquid>aqueous,-9999,-9999,7.463,0.674,0.076,-9999,5.156,0.06,-9999,-9999,1.924,5.491,0.783,1.037,-9999,TRUE
N/A,SSS030_Water,10.58052/IEWDR01NA,Liquid>aqueous,-9999,-9999,6.704,1.038,0.092,-9999,5.556,-9999,-9999,-9999,2.215,6.667,1.132,1.037,-9999,TRUE
N/A,SSS031_Water,10.58052/IEWDR01NB,Liquid>aqueous,-9999,-9999,5.402,0.468,0.133,-9999,1.139,-9999,-9999,-9999,0.426,1.518,4.397,0.467,-9999,TRUE
N/A,SSS032_Water,10.58052/IEWDR01NC,Liquid>aqueous,-9999,-9999,3.834,2.834,0.056,-9999,1.062,-9999,-9999,-9999,0.74,3.163,0.645,0.35,-9999,TRUE
N/A,SSS033_Water,10.58052/IEWDR01ND,Liquid>aqueous,-9999,-9999,5.658,0.646,0.061,-9999,2.035,-9999,-9999,-9999,0.579,2.544,1.491,0.41,-9999,TRUE
N/A,SSS034_Water,10.58052/IEWDR01NE,Liquid>aqueous,-9999,-9999,3.357,0.349,0.028,-9999,2.76,-9999,-9999,-9999,-9999,0.701,0.722,0.447,-9999,TRUE
N/A,SSS035_Water,10.58052/IEWDR01NF,Liquid>aqueous,-9999,-9999,3.11,0.231,0.027,-9999,-9999,-9999,-9999,-9999,-9999,0.571,0.479,0.48,-9999,TRUE
N/A,SSS036_Water,10.58052/IEWDR01NG,Liquid>aqueous,-9999,-9999,7.918,0.601,0.089,-9999,5.116,-9999,-9999,-9999,2.143,4.316,1.107,1.947,0.12,TRUE
N/A,SSS037_Water,10.58052/IEWDR01NH,Liquid>aqueous,-9999,-9999,4.188,0.491,0.066,-9999,2.091,0.042,-9999,-9999,1.137,2.913,0.45,0.743,-9999,TRUE
N/A,SSS038_Water,10.58052/IEWDR01NI,Liquid>aqueous,-9999,-9999,8.281,0.672,0.085,-9999,5.755,0.073,-9999,-9999,1.802,5.154,0.61,0.983,-9999,TRUE
N/A,SSS039_Water,10.58052/IEWDR01NJ,Liquid>aqueous,-9999,-9999,4.631,0.94,0.074,-9999,2.243,0.045,-9999,-9999,1.165,3.243,0.419,0.873,-9999,TRUE
N/A,SSS040_Water,10.58052/IEWDR01NK,Liquid>aqueous,-9999,-9999,5.321,1.918,0.071,-9999,1.313,-9999,-9999,-9999,0.716,2.616,2.241,1.123,-9999,TRUE
N/A,SSS041_Water,10.58052/IEWDR01NL,Liquid>aqueous,-9999,-9999,5.928,1.504,0.091,-9999,2.845,0.046,-9999,-9999,1.348,3.344,2.23,1.667,-9999,TRUE
N/A,SSS042_Water,10.58052/IEWDR01NM,Liquid>aqueous,-9999,-9999,6.497,1.952,0.108,-9999,1.712,0.105,-9999,4.68,0.694,2.864,2.706,1.137,-9999,TRUE
N/A,SSS043_Water,10.58052/IEWDR01NN,Liquid>aqueous,-9999,-9999,3.895,0.485,0.046,-9999,-9999,-9999,-9999,-9999,0.267,1.432,1.645,0.853,-9999,TRUE
N/A,SSS044_Water,10.58052/IEWDR01NO,Liquid>aqueous,-9999,-9999,3.003,0.478,0.043,-9999,-9999,-9999,-9999,-9999,0.284,1.425,1.298,0.853,-9999,TRUE
N/A,SSS045_Water,10.58052/IEWDR01NP,Liquid>aqueous,-9999,-9999,6.014,0.441,0.046,-9999,0.714,-9999,-9999,-9999,0.204,1.961,1.444,0.507,-9999,TRUE
N/A,SSS046_Water,10.58052/IEWDR01NQ,Liquid>aqueous,-9999,-9999,5.917,7.843,0.055,-9999,4.424,-9999,-9999,-9999,0.296,6.356,0.747,2.053,0.13,TRUE
N/A,SSS047_Water,10.58052/IEWDR01NR,Liquid>aqueous,-9999,-9999,4.47,0.857,0.036,-9999,2.16,-9999,-9999,-9999,-9999,1.208,0.775,0.863,-9999,TRUE
N/A,SSS048_Water,10.58052/IEWDR01NS,Liquid>aqueous,-9999,-9999,5.739,7.492,0.045,-9999,2.088,-9999,-9999,-9999,0.492,4.863,1.098,1.16,-9999,TRUE
#End_Data,,,,,,,,,,,,,,,,,,,
