Study_Code,Sample_ID,INC_Method,Vial_Break_Method,SED_INC_DESC
WHONDRS_S19S,S19S_0064_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0064_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0059_SED_INC-D,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0066_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0061_SED_INC-D,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0061_SED_INC-M,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0066_SED_INC-M,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0066_SED_INC-U,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0068_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0068_SED_INC-D,SED_INC_000,VB_013,SED_INC_DESC_000
WHONDRS_S19S,S19S_0068_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0069_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0069_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0069_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0070_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0070_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0070_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0071_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0071_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0071_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0072_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0072_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0072_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0073_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0073_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0073_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0074_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0074_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0074_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0075_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0075_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0075_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0076_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0076_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0076_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0077_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0077_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0077_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0080_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0080_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0080_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0081_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0081_SED_INC-D,SED_INC_000,VB_013,SED_INC_DESC_000
WHONDRS_S19S,S19S_0081_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0082_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0082_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0082_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0083_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0083_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0083_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0084_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0084_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0084_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0085_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0085_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0085_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0086_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0086_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0086_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0087_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0067_SED_INC-D,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0087_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0090_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0090_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0090_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0067_SED_INC-M,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0097_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0067_SED_INC-U,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0098_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0098_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0098_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0099_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0099_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0099_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0100_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0100_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0100_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0032_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0032_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0032_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0053_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0053_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0053_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0089_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0087_SED_INC-D,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0089_SED_INC-D,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0005_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0005_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0005_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0045_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0045_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0045_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0048_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0048_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0048_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0049_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0049_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0049_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0056_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0056_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0056_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0058_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0058_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0058_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0093_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0093_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0093_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0094_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0094_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0094_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0001_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0001_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0001_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0003_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0003_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0003_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0004_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0004_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0004_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0046_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0046_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0046_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0092_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0092_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0092_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0096_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0096_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0096_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_001
WHONDRS_S19S,S19S_0012_SED_INC-D,SED_INC_000,VB_010,SED_INC_DESC_002
WHONDRS_S19S,S19S_0057_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0057_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0057_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0065_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0065_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0065_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0078_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0078_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0078_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0079_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0079_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0079_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0091_SED_INC-U,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0091_SED_INC-D,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0091_SED_INC-M,SED_INC_000,VB_000,SED_INC_DESC_002
WHONDRS_S19S,S19S_0089_SED_INC-M,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0097_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0097_SED_INC-U,SED_INC_004,VB_000,SED_INC_DESC_000
